time,		current
0.000000,	0.464784
0.002000,	0.464330
0.004000,	0.463877
0.008000,	0.462972
0.016000,	0.461166
0.032000,	0.457576
0.064000,	0.450479
0.128000,	0.436614
0.256000,	0.410144
0.512000,	0.361876
0.912000,	0.297465
1.312000,	0.244519
1.712000,	0.200997
2.112000,	0.165221
2.512000,	0.135813
2.912000,	0.111640
3.312000,	0.091769
3.712000,	0.075435
4.112000,	0.062008
4.512000,	0.050971
4.912000,	0.041899
5.312000,	0.034441
5.712000,	0.028311
6.112000,	0.023272
6.512000,	0.019130
6.912000,	0.015725
7.312000,	0.012926
7.712000,	0.010625
8.112000,	0.008734
8.512000,	0.007179
8.912000,	0.005902
9.312000,	0.004851
9.712000,	0.003988
10.112000,	0.003278
10.512000,	0.002694
10.912000,	0.002215
11.312000,	0.001821
11.712000,	0.001497
12.112000,	0.001230
12.512000,	0.001011
12.912000,	0.000831
13.312000,	0.000683
13.712000,	0.000562
14.112000,	0.000462
14.512000,	0.000380
14.912000,	0.000312
15.312000,	0.000256
15.712000,	0.000211
16.112000,	0.000173
16.512000,	0.000142
16.912000,	0.000117
17.312000,	0.000096
17.712000,	0.000079
18.112000,	0.000065
18.512000,	0.000053
18.912000,	0.000044
19.312000,	0.000036
19.712000,	0.000030
