time,current,voltage
0.000000,0.800000,0.000000
0.000100,0.799932,0.033895
0.000200,0.799864,0.067788
0.000400,0.799729,0.135567
0.000800,0.799458,0.271092
0.001600,0.798916,0.542002
0.003200,0.797833,1.083273
0.006400,0.795673,2.163617
0.012800,0.791369,4.315538
0.022800,0.784691,7.654647
0.032800,0.778069,10.965578
0.042800,0.771503,14.248569
0.052800,0.764992,17.503855
0.062800,0.758537,20.731671
0.072800,0.752136,23.932248
0.082800,0.745788,27.105815
0.092800,0.739495,30.252602
0.102800,0.733254,33.372833
0.112800,0.727067,36.466733
0.122800,0.720931,39.534524
0.132800,0.714847,42.576427
0.142800,0.708815,45.592660
0.152800,0.702833,48.583439
0.162800,0.696902,51.548979
0.172800,0.691021,54.489494
0.182800,0.685190,57.405195
0.192800,0.679407,60.296290
0.202800,0.673674,63.162988
0.212800,0.667989,66.005495
0.222800,0.662352,68.824014
0.232800,0.656763,71.618748
0.242800,0.651220,74.389898
0.252800,0.645725,77.137662
0.262800,0.640276,79.862239
0.272800,0.634872,82.563823
0.282800,0.629515,85.242610
0.292800,0.624202,87.898790
0.302800,0.618935,90.532556
0.312800,0.613712,93.144095
0.322800,0.608533,95.733597
0.332800,0.603398,98.301246
0.342800,0.598306,100.847227
0.352800,0.593257,103.371723
0.362800,0.588250,105.874915
0.372800,0.583286,108.356983
0.382800,0.578364,110.818106
0.392800,0.573483,113.258459
0.402800,0.568644,115.678219
0.412800,0.563845,118.077559
0.422800,0.559087,120.456651
0.432800,0.554369,122.815667
0.442800,0.549690,125.154775
0.452800,0.545052,127.474144
0.462800,0.540452,129.773940
0.472800,0.535891,132.054329
0.482800,0.531369,134.315474
0.492800,0.526885,136.557537
0.502800,0.522439,138.780681
0.512800,0.518030,140.985063
0.522800,0.513658,143.170843
0.532800,0.509324,145.338178
0.542800,0.505026,147.487223
0.552800,0.500764,149.618132
0.562800,0.496538,151.731059
0.572800,0.492348,153.826156
0.582800,0.488193,155.903572
0.592800,0.484073,157.963458
0.602800,0.479988,160.005960
0.612800,0.475938,162.031226
0.622800,0.471921,164.039402
0.632800,0.467939,166.030630
0.642800,0.463990,168.005055
0.652800,0.460074,169.962819
0.662800,0.456192,171.904061
0.672800,0.452342,173.828921
0.682800,0.448525,175.737538
0.692800,0.444740,177.630048
0.702800,0.440987,179.506588
0.712800,0.437265,181.367291
0.722800,0.433575,183.212293
0.732800,0.429917,185.041725
0.742800,0.426289,186.855719
0.752800,0.422691,188.654405
0.762800,0.419124,190.437912
0.772800,0.415587,192.206369
0.782800,0.412080,193.959901
0.792800,0.408603,195.698636
0.802800,0.405155,197.422699
0.812800,0.401736,199.132212
0.822800,0.398345,200.827298
0.832800,0.394984,202.508081
0.842800,0.391651,204.174679
0.852800,0.388346,205.827214
0.862800,0.385068,207.465803
